# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       38.777      807.895
       0.001        0.000       39.277      873.176
       0.002        0.000       39.277      873.176
       0.002        0.000       39.527      873.273
       0.003        0.000       39.652      873.395
       0.003        0.000       39.902      873.535
       0.004        0.000       39.902      873.535
       0.004        0.000       39.902      873.535
       0.005        0.000       40.152      873.668
       0.005        0.000       40.277      873.875
       0.006     1784.800       40.277      873.875
       0.006        0.000       40.277      873.875
       0.007        0.000       40.527      874.164
       0.007        0.000       40.777      874.238
       0.008        0.000       40.777      874.238
       0.008        0.000       40.777      874.250
       0.009        0.000       41.027      874.523
       0.009        0.000       41.152      874.855
       0.010        0.000       41.152      874.598
       0.010        0.000       41.152      874.598
       0.011        0.000       41.152      874.598
       0.011        0.000       41.402      874.855
       0.012        0.000       41.527      874.926
       0.012        0.000       41.527      874.926
       0.013        0.000       41.527      874.926
       0.013        0.000       41.652      875.238
       0.014        0.000       41.902      875.508
       0.015     1797.900       41.902      875.250
       0.015        0.000       41.902      875.250
       0.016        0.000       42.027      875.520
       0.016        0.000       42.277      875.598
       0.017        0.000       42.277      875.598
       0.017        0.000       42.277      875.727
       0.018        0.000       42.402      875.723
       0.018        0.000       42.527      875.723
       0.019        0.000       42.652      876.191
       0.019        0.000       42.652      875.934
       0.020        0.000       42.902      876.000
       0.020        0.000       43.027      876.297
       0.021        0.000       43.027      876.227
       0.021        0.000       43.152      876.312
       0.022     1864.400       43.152      876.309
       0.023        0.000       43.277      876.621
       0.023        0.000       43.402      876.703
       0.024        0.000       43.652      876.910
       0.024        0.000       43.652      876.910
       0.025        0.000       43.777      877.215
       0.025        0.000       44.027      877.363
       0.025        0.000       44.027      877.293
       0.026        0.000       44.027      877.566
       0.027        0.000       44.402      877.902
       0.027        0.000       44.402      877.645
       0.028     1957.100       44.402      877.645
       0.028        0.000       44.402      877.984
       0.029        0.000       44.652      878.195
       0.029        0.000       44.652      877.938
       0.030        0.000       44.652      877.938
       0.030        0.000       44.777      878.289
       0.031        0.000       44.902      878.371
       0.031        0.000       44.902      878.238
       0.032        0.000       44.902      878.238
       0.032        0.000       45.277      881.391
       0.032        0.000       45.402      881.500
       0.033        0.000       45.402      881.844
       0.033        0.000       45.527      881.586
       0.034        0.000       45.527      881.586
       0.035        0.000       45.652      882.055
       0.035        0.000       45.652      881.797
       0.036        0.000       45.777      881.926
       0.036        0.000       45.902      882.012
       0.037        0.000       45.902      882.012
       0.037        0.000       46.027      882.098
       0.038        0.000       46.027      882.098
       0.038        0.000       46.152      882.441
       0.039        0.000       46.277      882.652
       0.039        0.000       46.277      882.395
       0.040        0.000       46.277      882.395
       0.040        0.000       46.527      882.613
       0.041     1867.200       46.652      884.914
       0.041        0.000       46.652      884.914
       0.042        0.000       46.777      885.000
       0.042        0.000       47.027      885.465
       0.043        0.000       47.027      885.207
       0.043        0.000       47.027      885.207
       0.044        0.000       47.152      885.441
       0.044        0.000       47.277      885.516
       0.045        0.000       47.277      885.516
       0.045        0.000       47.277      885.645
       0.046        0.000       47.402      885.652
       0.046        0.000       47.652      885.859
       0.047        0.000       47.652      885.859
       0.047        0.000       47.777      886.203
       0.048        0.000       47.902      886.285
       0.048     1915.200       47.902      886.152
       0.049        0.000       48.027      886.492
       0.049        0.000       48.027      886.238
       0.050        0.000       48.027      886.238
       0.050        0.000       48.277      886.707
       0.051        0.000       48.402      886.449
