# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       35.168      705.223
       0.001        0.000       36.293      705.895
       0.002        0.000       36.543      707.367
       0.003        0.000       37.543      711.496
       0.004        0.000       38.168      791.926
       0.004        0.000       38.668      807.891
       0.005        0.000       39.168      872.105
       0.006        0.000       39.293      873.172
       0.007     1236.300       39.418      873.465
       0.008        0.000       39.543      873.270
       0.009        0.000       39.668      873.531
       0.009        0.000       39.918      873.531
       0.010     1205.500       39.918      873.531
       0.011        0.000       40.043      873.715
       0.012        0.000       40.543      873.906
       0.013        0.000       40.543      873.906
       0.014        0.000       40.668      873.906
       0.014        0.000       40.668      873.906
       0.015        0.000       40.668      873.906
       0.016        0.000       40.793      873.906
       0.017        0.000       40.793      873.906
       0.018        0.000       40.793      873.906
       0.019        0.000       40.918      873.906
       0.019        0.000       40.918      873.906
       0.020        0.000       40.918      873.906
       0.021        0.000       40.918      873.906
       0.022        0.000       41.043      873.906
       0.023        0.000       41.043      873.906
       0.024        0.000       41.043      873.906
       0.025     1056.000       41.168      873.906
       0.026        0.000       41.168      874.078
       0.026        0.000       41.668      874.270
       0.027        0.000       41.668      874.270
       0.028        0.000       41.668      874.270
       0.029        0.000       41.918      874.523
       0.030        0.000       41.918      874.391
       0.031        0.000       42.043      874.391
       0.032        0.000       42.043      874.391
       0.033     1036.600       42.168      874.391
       0.034        0.000       42.168      874.391
       0.035        0.000       42.293      874.523
       0.035        0.000       42.418      874.598
       0.036        0.000       42.418      874.598
       0.037        0.000       42.418      874.598
       0.038        0.000       42.418      874.598
       0.039        0.000       42.418      874.598
       0.040        0.000       42.418      874.598
       0.041        0.000       42.418      874.598
       0.042        0.000       42.418      874.598
       0.042        0.000       42.418      874.598
       0.043     1144.400       42.418      874.598
       0.044        0.000       42.543      874.734
       0.045        0.000       42.918      874.961
       0.046        0.000       42.918      874.961
       0.047        0.000       42.918      874.961
       0.048        0.000       42.918      874.961
       0.049        0.000       42.918      874.973
       0.050     1087.500       42.918      874.973
       0.051        0.000       42.918      874.973
       0.051        0.000       43.293      875.578
       0.052     1119.000       43.293      875.320
       0.053        0.000       43.293      875.320
       0.054        0.000       43.543      875.445
       0.055        0.000       43.793      875.652
       0.056        0.000       43.793      875.648
       0.057        0.000       43.793      875.648
       0.058        0.000       43.918      875.898
       0.058        0.000       44.043      875.973
       0.059        0.000       44.043      875.973
       0.060        0.000       44.043      876.074
       0.061        0.000       44.293      876.281
       0.062        0.000       44.293      876.281
       0.063        0.000       44.418      876.539
       0.064        0.000       44.418      876.406
       0.065     1096.300       44.418      876.406
       0.066        0.000       44.668      876.617
       0.066        0.000       44.793      876.617
       0.067     1192.000       44.918      876.617
       0.068        0.000       45.168      876.617
       0.069        0.000       45.293      876.812
       0.070        0.000       45.293      876.910
       0.071        0.000       45.418      877.250
       0.072        0.000       45.418      876.992
       0.072        0.000       45.418      877.305
       0.073        0.000       45.793      877.520
       0.074        0.000       45.918      877.594
       0.075        0.000       45.918      877.594
       0.076        0.000       46.043      877.902
       0.077        0.000       46.293      877.977
       0.078        0.000       46.293      877.977
       0.078        0.000       46.668      878.586
       0.079     1194.700       46.668      878.328
       0.080        0.000       46.668      878.328
       0.081        0.000       46.793      878.547
       0.082        0.000       46.918      878.621
       0.083        0.000       46.918      878.621
       0.084        0.000       47.043      878.719
       0.085        0.000       47.293      878.922
       0.085     1137.300       47.293      878.922
       0.086        0.000       47.668      882.191
       0.087        0.000       47.668      882.184
       0.088        0.000       47.793      882.270
       0.089        0.000       47.793      882.270
       0.090        0.000       48.043      882.410
       0.091        0.000       48.043      882.484
       0.092        0.000       48.293      882.480
       0.092     1006.000       48.293      882.480
       0.093        0.000       48.293      882.699
       0.094        0.000       48.293      882.695
       0.095        0.000       48.418      882.781
       0.096        0.000       48.418      882.781
       0.097        0.000       48.418      883.125
       0.098        0.000       48.668      883.078
