# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       41.980      322.766
       0.001        0.000       42.355      323.156
       0.002        0.000       42.605      323.547
       0.003        0.000       42.730      323.680
       0.004        0.000       43.105      323.945
       0.005        0.000       43.355      324.336
       0.006     1172.500       43.730      324.723
       0.007        0.000       44.105      325.113
       0.007        0.000       44.105      325.242
       0.008        0.000       44.480      325.500
       0.009        0.000       44.855      325.898
       0.010        0.000       45.105      326.289
       0.011        0.000       45.480      326.680
       0.012        0.000       45.605      326.812
       0.013        0.000       45.855      327.074
       0.014        0.000       46.230      327.332
       0.014     2448.300       46.480      327.719
       0.015        0.000       46.730      327.977
       0.016        0.000       46.980      328.238
       0.017        0.000       47.105      328.500
       0.018        0.000       47.480      328.758
       0.019        0.000       47.855      329.145
       0.020        0.000       48.105      329.531
       0.021        0.000       48.355      329.789
       0.021        0.000       48.480      329.918
       0.022        0.000       48.730      330.203
       0.023        0.000       48.980      330.590
       0.024        0.000       49.355      330.980
       0.025     1101.000       49.730      331.371
       0.026        0.000       49.980      331.633
       0.027        0.000       49.980      331.762
       0.028        0.000       50.230      331.895
       0.029        0.000       50.480      332.152
       0.029        0.000       50.730      332.410
       0.030        0.000       51.105      332.797
       0.031        0.000       51.355      333.188
       0.032     1129.800       51.605      333.445
       0.033        0.000       51.730      333.574
       0.034        0.000       51.980      333.703
       0.035        0.000       52.230      333.961
       0.035        0.000       52.480      334.348
       0.036        0.000       52.730      334.609
       0.037        0.000       52.980      334.996
       0.038        0.000       53.230      335.258
       0.039        0.000       53.480      335.516
       0.040        0.000       53.730      335.773
       0.040        0.000       54.105      336.031
       0.041     1185.700       54.355      336.418
       0.042        0.000       54.730      336.809
       0.043        0.000       54.980      448.949
       0.044        0.000       57.270      544.957
       0.045        0.000       57.270      544.957
       0.046        0.000       57.270      608.957
       0.047     1085.400       57.270      672.957
       0.047        0.000       57.270      736.957
       0.048        0.000       57.270      736.957
       0.049        0.000       57.270      736.957
       0.050        0.000       57.270      736.957
       0.051        0.000       57.270      736.957
       0.052        0.000       57.270      736.957
       0.053        0.000       57.270      736.957
       0.053     1263.100       57.270      736.957
       0.054        0.000       57.270      736.957
       0.055        0.000       57.270      736.957
       0.056        0.000       57.270      736.957
       0.057        0.000       57.270      736.957
       0.058        0.000       57.270      736.957
       0.058        0.000       57.270      736.957
       0.059        0.000       57.270      736.957
       0.060        0.000       57.270      736.957
       0.061        0.000       57.270      736.957
       0.061     1309.700       57.270      736.957
       0.062        0.000       57.270      736.957
       0.063        0.000       57.270      736.957
       0.064        0.000       57.270      736.957
       0.064        0.000       57.395      736.957
       0.065        0.000       57.395      736.957
       0.066        0.000       57.395      736.957
       0.067        0.000       57.395      736.957
       0.067     1236.200       57.395      736.957
       0.068        0.000       57.395      736.957
       0.069        0.000       57.395      736.957
       0.069        0.000       57.395      736.957
       0.070        0.000       57.395      736.957
       0.070        0.000       57.395      736.957
       0.071        0.000       57.395      736.957
       0.071        0.000       57.395      736.957
       0.072        0.000       57.395      736.957
       0.072        0.000       57.395      736.957
       0.073        0.000       57.395      736.957
       0.073        0.000       57.395      736.957
       0.074        0.000       57.395      736.957
       0.074        0.000       57.395      736.957
       0.075     1784.600       57.395      736.957
       0.075        0.000       57.395      736.957
       0.076        0.000       57.395      736.957
       0.076        0.000       57.395      736.957
       0.077        0.000       57.395      736.957
       0.077        0.000       57.395      736.957
       0.078        0.000       57.395      736.957
       0.078        0.000       57.395      736.957
       0.079        0.000       57.395      736.957
       0.079        0.000       57.395      736.957
       0.080        0.000       57.395      736.957
       0.080        0.000       57.395      736.957
       0.081        0.000       57.395      736.957
       0.081        0.000       57.395      736.957
