# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       36.176      705.777
       0.001        0.000       36.426      707.102
       0.001        0.000       36.801      707.379
       0.002        0.000       37.551      710.414
       0.003        0.000       37.801      791.812
       0.004        0.000       38.301      791.680
       0.004        0.000       38.676      792.156
       0.005        0.000       38.801      791.898
       0.006     1114.800       39.051      873.066
       0.007        0.000       39.551      873.184
       0.008        0.000       39.551      873.184
       0.008        0.000       39.676      873.184
       0.009        0.000       39.676      873.184
       0.010        0.000       39.676      873.184
       0.011        0.000       39.801      873.367
       0.011        0.000       40.176      873.559
       0.012        0.000       40.176      873.559
       0.013        0.000       40.176      873.559
       0.013        0.000       40.301      873.559
       0.014        0.000       40.301      873.559
       0.015        0.000       40.301      873.559
       0.016     1325.200       40.426      873.559
       0.016        0.000       40.426      873.559
       0.017        0.000       40.551      873.559
       0.018        0.000       40.676      873.559
       0.019        0.000       40.801      873.652
       0.020        0.000       40.926      873.773
       0.021        0.000       41.051      873.914
       0.021        0.000       41.051      873.914
       0.022        0.000       41.051      873.914
       0.023     1524.600       41.176      873.914
       0.024        0.000       41.176      873.914
       0.024        0.000       41.176      873.914
       0.025        0.000       41.176      873.914
       0.026        0.000       41.301      874.180
       0.026        0.000       41.551      874.254
       0.027        0.000       41.676      874.254
       0.028     1106.900       41.676      874.254
       0.029        0.000       41.676      874.254
       0.030        0.000       41.801      874.254
       0.031        0.000       41.801      874.254
       0.032        0.000       41.801      874.426
       0.033        0.000       41.926      874.426
       0.033        0.000       41.926      874.426
       0.034        0.000       41.926      874.426
       0.035        0.000       41.926      874.426
       0.036        0.000       41.926      874.426
       0.037        0.000       41.926      874.426
       0.038        0.000       41.926      874.426
       0.039        0.000       41.926      874.426
       0.039        0.000       41.926      874.559
       0.040     1067.600       42.176      874.711
       0.041        0.000       42.301      874.785
       0.042        0.000       42.426      874.785
       0.043        0.000       42.426      874.785
       0.044        0.000       42.551      874.785
       0.045        0.000       42.551      874.797
       0.046        0.000       42.551      874.797
       0.047        0.000       42.551      874.797
