# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       39.793      873.578
       0.001        0.000       39.793      873.578
       0.002        0.000       39.793      873.578
       0.003        0.000       39.793      873.762
       0.004        0.000       40.293      873.953
       0.005        0.000       40.293      873.953
       0.006        0.000       40.293      873.953
       0.007     1120.400       40.668      874.211
       0.008        0.000       40.793      874.289
       0.009        0.000       40.918      874.289
       0.010        0.000       40.918      874.289
       0.010        0.000       40.918      874.289
       0.011        0.000       40.918      874.289
       0.012        0.000       41.043      874.289
       0.013        0.000       41.043      874.289
       0.014        0.000       41.043      874.289
       0.015        0.000       41.043      874.289
       0.016        0.000       41.043      874.289
       0.017        0.000       41.293      874.441
       0.018        0.000       41.418      874.906
       0.019        0.000       41.543      874.648
       0.020        0.000       41.543      874.648
       0.021        0.000       41.543      874.648
       0.021     1070.000       41.543      874.648
       0.022        0.000       41.543      874.648
       0.023        0.000       41.668      874.660
       0.024        0.000       41.668      874.660
       0.025        0.000       41.668      874.660
       0.026        0.000       41.793      874.871
       0.027        0.000       42.043      875.270
       0.028        0.000       42.168      875.012
       0.029        0.000       42.168      875.012
       0.030        0.000       42.168      875.012
       0.031        0.000       42.168      875.012
       0.031        0.000       42.168      875.012
       0.032        0.000       42.168      875.184
       0.033        0.000       42.293      875.184
       0.034        0.000       42.293      875.184
       0.035     1173.000       42.418      875.184
       0.036        0.000       42.793      875.375
       0.036        0.000       42.793      875.375
       0.037        0.000       42.793      875.375
       0.038        0.000       42.793      875.375
       0.039        0.000       42.918      875.375
       0.039        0.000       42.918      875.375
       0.040        0.000       42.918      875.375
       0.041        0.000       42.918      875.375
       0.042     1149.600       42.918      875.375
       0.043        0.000       42.918      875.375
       0.044        0.000       43.043      875.742
       0.045        0.000       43.293      875.949
       0.046        0.000       43.293      875.695
       0.046        0.000       43.293      875.695
       0.047        0.000       43.293      875.695
       0.048      979.800       43.293      875.695
       0.049        0.000       43.293      875.695
       0.050        0.000       43.293      875.695
       0.051        0.000       43.293      875.695
       0.052        0.000       43.293      875.695
       0.053        0.000       43.293      875.695
       0.054        0.000       43.293      875.695
       0.055        0.000       43.418      876.066
       0.056        0.000       43.418      875.809
       0.057        0.000       43.668      876.020
       0.057     1016.600       43.668      876.016
       0.058        0.000       43.668      876.016
       0.059        0.000       43.668      876.016
       0.060        0.000       43.668      876.016
       0.061        0.000       43.668      876.016
       0.062        0.000       43.668      876.016
       0.063        0.000       43.668      876.016
       0.064        0.000       43.793      876.250
       0.065        0.000       43.918      876.324
       0.066     1178.300       43.918      876.324
       0.066        0.000       43.918      876.324
       0.067        0.000       44.043      876.582
       0.068        0.000       44.168      876.453
       0.069        0.000       44.168      876.453
       0.070        0.000       44.293      876.453
       0.071        0.000       44.293      876.453
       0.072        0.000       44.293      876.453
       0.072     1119.100       44.293      876.453
       0.073        0.000       44.293      876.453
       0.074        0.000       44.418      876.922
       0.075        0.000       44.418      876.664
       0.076        0.000       44.668      876.664
       0.077        0.000       44.918      876.730
       0.078        0.000       45.043      876.730
       0.079        0.000       45.293      876.859
       0.079        0.000       45.418      876.953
       0.080        0.000       45.418      876.953
       0.081        0.000       45.418      877.039
       0.082        0.000       45.418      877.039
       0.083     1003.600       45.418      877.039
       0.084        0.000       45.418      877.172
       0.085     1048.400       45.418      877.172
       0.086        0.000       45.668      877.504
       0.087        0.000       45.793      877.645
       0.087        0.000       45.918      877.719
       0.088        0.000       45.918      877.719
       0.089        0.000       45.918      877.719
       0.090        0.000       45.918      877.719
       0.091        0.000       45.918      877.719
       0.092        0.000       45.918      877.719
       0.093        0.000       45.918      877.719
       0.093        0.000       45.918      877.719
       0.094        0.000       45.918      877.719
