# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       21.211      684.922
       0.001        0.000       21.211      685.051
       0.002        0.000       21.211      685.051
       0.003        0.000       21.336      685.180
       0.004        0.000       21.336      685.180
       0.005        0.000       21.461      685.180
       0.006        0.000       21.461      685.309
       0.007        0.000       21.461      685.309
       0.008     1115.400       21.586      685.309
       0.009        0.000       21.586      685.445
       0.009        0.000       21.711      685.445
       0.010        0.000       21.711      685.574
       0.011        0.000       21.836      685.574
       0.012        0.000       21.836      685.574
       0.013        0.000       24.051      957.723
       0.014        0.000       24.176     1085.723
       0.015        0.000       24.176     1085.723
       0.016        0.000       24.176     1085.723
       0.017        0.000       24.176     1085.723
       0.017        0.000       24.176     1085.723
       0.018        0.000       24.176     1085.723
       0.019     1092.400       24.176     1085.723
       0.020        0.000       24.176     1085.723
       0.021        0.000       24.176     1085.723
       0.022        0.000       24.176     1085.723
       0.022        0.000       24.176     1085.723
       0.023        0.000       24.176     1085.723
       0.023        0.000       24.176     1085.723
       0.024        0.000       24.176     1085.723
       0.025        0.000       24.176     1085.723
       0.025        0.000       24.176     1085.723
       0.026        0.000       24.176     1085.723
       0.026        0.000       24.176     1085.723
       0.027        0.000       24.176     1085.723
       0.027        0.000       24.176     1085.723
       0.028        0.000       24.176     1085.723
       0.028        0.000       24.176     1085.723
       0.029        0.000       24.176     1085.723
       0.029        0.000       24.176     1085.723
       0.030        0.000       24.176     1085.723
       0.030        0.000       24.176     1085.723
       0.031        0.000       24.176     1085.723
       0.031        0.000       24.176     1085.723
       0.032        0.000       24.176     1085.723
       0.032        0.000       24.176     1085.723
       0.033        0.000       24.176     1085.723
       0.033        0.000       24.176     1085.723
       0.034        0.000       24.176     1085.723
       0.034        0.000       24.176     1085.723
       0.035        0.000       24.176     1085.723
       0.035        0.000       24.176     1085.723
       0.036        0.000       24.176     1085.723
       0.037        0.000       24.176     1085.723
       0.037        0.000       24.176     1085.723
       0.038        0.000       24.176     1085.723
       0.038        0.000       24.176     1085.723
       0.039        0.000       24.176     1085.723
       0.039        0.000       24.176     1085.723
       0.040        0.000       24.176     1085.723
       0.040        0.000       24.176     1085.723
       0.041        0.000       24.176     1085.723
       0.041        0.000       24.176     1085.723
       0.042        0.000       24.176     1085.723
       0.042        0.000       24.176     1085.723
       0.043        0.000       24.176     1085.723
       0.043        0.000       24.176     1085.723
       0.044        0.000       24.176     1085.723
       0.044        0.000       24.176     1085.723
       0.045        0.000       24.176     1085.723
       0.046        0.000       24.176     1085.723
       0.046        0.000       24.176     1085.723
       0.047        0.000       24.176     1085.723
       0.047        0.000       24.176     1085.723
       0.047        0.000       24.176     1085.723
       0.048        0.000       24.176     1085.723
       0.049        0.000       24.176     1085.723
       0.049        0.000       24.176     1085.723
       0.050        0.000       24.176     1085.723
       0.050        0.000       24.176     1085.723
       0.051        0.000       24.176     1085.723
       0.051        0.000       24.176     1085.723
       0.051        0.000       24.176     1085.723
       0.052        0.000       24.176     1085.723
       0.053        0.000       24.176     1085.723
       0.053        0.000       24.176     1085.723
       0.053        0.000       24.176     1085.723
       0.054        0.000       24.176     1085.723
       0.054        0.000       24.176     1085.723
       0.055        0.000       24.176     1085.723
       0.055        0.000       24.301     1085.723
       0.056        0.000       24.301     1085.723
       0.057        0.000       24.301     1085.723
       0.057        0.000       24.301     1085.723
       0.057        0.000       24.301     1085.723
       0.058        0.000       24.301     1085.723
       0.058        0.000       24.301     1085.723
       0.059     4141.500       24.301     1085.723
       0.059        0.000       24.301     1085.723
       0.060        0.000       24.301     1085.723
       0.060        0.000       24.301     1085.723
       0.061        0.000       24.301     1085.723
       0.061        0.000       24.301     1085.723
       0.062        0.000       24.301     1085.723
       0.062        0.000       24.301     1085.723
       0.063        0.000       24.301     1085.723
       0.064     1585.200       24.301     1085.723
       0.064        0.000       24.301     1085.723
       0.065        0.000       24.301     1085.723
       0.065        0.000       24.301     1085.723
       0.066        0.000       24.301     1085.723
       0.066        0.000       24.301     1085.723
       0.067        0.000       24.301     1085.723
       0.067        0.000       24.301     1085.723
       0.068        0.000       24.301     1085.723
       0.069        0.000       24.301     1085.723
       0.069        0.000       24.301     1085.723
       0.070        0.000       24.301     1085.723
       0.070        0.000       24.301     1085.723
       0.071        0.000       24.301     1085.723
       0.071        0.000       24.301     1085.723
       0.072     1927.100       24.301     1085.723
       0.072        0.000       24.301     1085.723
       0.073        0.000       24.301     1085.723
       0.073        0.000       24.301     1085.723
       0.074        0.000       24.301     1085.723
       0.074        0.000       24.301     1085.723
       0.075        0.000       24.301     1085.723
       0.075        0.000       24.301     1085.723
       0.076        0.000       24.301     1085.723
       0.076        0.000       24.301     1085.723
       0.077        0.000       24.301     1085.723
       0.077        0.000       24.301     1085.723
       0.078        0.000       24.301     1085.723
       0.078        0.000       24.301     1085.723
       0.079        0.000       24.301     1085.723
