# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       27.625      270.426
       0.001        0.000       29.000      270.426
       0.001        0.000       29.250      270.453
       0.002        0.000       29.500      270.484
       0.002        0.000       29.625      270.484
       0.003        0.000       29.625      270.484
       0.003        0.000       29.750      270.484
       0.004        0.000       29.875      366.660
       0.004     2119.500       32.000      591.875
       0.005        0.000       34.230      753.098
       0.005        0.000       35.105      753.723
       0.005        0.000       35.980      754.695
       0.006        0.000       36.855      756.816
       0.006        0.000       37.480      758.137
       0.007        0.000       37.605      758.137
       0.007        0.000       38.230      758.266
       0.008        0.000       38.730      758.809
       0.008        0.000       38.980      760.281
       0.009        0.000       39.480      760.965
       0.009        0.000       40.230      764.410
       0.010        0.000       40.605      844.715
       0.010        0.000       40.980      844.719
       0.011        0.000       41.105      860.809
       0.011     1625.400       43.348      925.875
       0.012        0.000       43.473      926.199
       0.012        0.000       43.598      926.262
       0.013        0.000       43.723      926.262
       0.013        0.000       43.973      926.363
       0.014        0.000       44.223      926.578
       0.014        0.000       44.473      926.875
       0.015        0.000       44.723      926.875
       0.015        0.000       44.723      926.875
       0.016        0.000       44.723      926.875
       0.016        0.000       44.848      927.148
       0.017        0.000       45.098      927.293
       0.017        0.000       45.098      927.223
       0.018        0.000       45.098      927.223
       0.018        0.000       45.223      927.352
       0.019        0.000       45.473      927.855
       0.019        0.000       45.473      927.598
       0.020        0.000       45.473      927.613
       0.020        0.000       45.473      927.613
       0.021        0.000       45.723      927.895
       0.021        0.000       45.848      927.977
       0.022     1909.900       45.848      927.969
       0.022        0.000       45.848      927.969
       0.023        0.000       45.973      928.098
       0.023        0.000       46.223      928.566
       0.024        0.000       46.348      928.309
       0.024        0.000       46.348      928.309
       0.025        0.000       46.348      928.309
       0.025        0.000       46.473      928.570
       0.026        0.000       46.598      928.902
       0.026        0.000       46.598      928.645
       0.027        0.000       46.598      928.645
       0.027        0.000       46.723      928.930
       0.028        0.000       46.973      929.266
       0.028        0.000       46.973      929.008
       0.029        0.000       46.973      929.008
       0.029        0.000       47.098      929.273
       0.030        0.000       47.098      929.141
       0.031        0.000       47.223      929.289
       0.031        0.000       47.348      929.363
       0.032        0.000       47.598      929.457
       0.032        0.000       47.598      929.520
       0.033        0.000       47.723      929.520
       0.033        0.000       47.723      929.695
       0.034        0.000       47.973      929.965
       0.034     1796.200       48.098      929.969
       0.035        0.000       48.223      930.043
       0.035        0.000       48.473      930.109
       0.036        0.000       48.598      930.613
       0.036        0.000       48.598      930.355
       0.037        0.000       48.723      930.645
       0.037        0.000       48.723      930.574
       0.038        0.000       48.723      930.719
       0.038        0.000       48.848      930.754
       0.039        0.000       49.098      930.961
       0.039        0.000       49.098      930.961
       0.040        0.000       49.223      931.246
       0.040        0.000       49.473      931.324
       0.041        0.000       49.473      931.324
       0.041        0.000       49.473      931.324
