# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       22.246      105.680
       0.001        0.000       22.246      105.680
       0.002        0.000       22.371      105.680
       0.002     1120.700       23.371      186.031
       0.003        0.000       24.621      266.738
       0.004        0.000       25.996      270.301
       0.005        0.000       27.746      270.430
       0.006        0.000       28.871      270.430
       0.007        0.000       29.371      270.488
       0.008        0.000       29.496      270.488
       0.008        0.000       29.621      270.488
       0.009        0.000       29.621      270.488
       0.010     1222.200       29.871      430.660
       0.011        0.000       32.082      689.098
       0.012        0.000       34.926      753.723
       0.013        0.000       36.051      755.094
       0.014        0.000       36.926      757.477
       0.014        0.000       37.426      758.141
       0.015        0.000       37.801      758.270
       0.016        0.000       38.801      758.938
       0.017        0.000       39.176      760.281
       0.018        0.000       39.801      763.055
       0.018        0.000       40.176      844.715
       0.019        0.000       40.801      845.059
       0.020        0.000       41.051      860.809
       0.021        0.000       41.426      926.008
       0.022        0.000       41.676      926.047
       0.023     1100.800       42.051      926.262
       0.024        0.000       42.301      926.262
       0.025        0.000       42.301      926.262
       0.025        0.000       42.301      926.262
       0.026        0.000       42.426      926.262
       0.027     1209.800       42.426      926.445
       0.028        0.000       42.551      926.445
       0.029        0.000       42.676      926.445
       0.029        0.000       42.926      926.637
       0.030        0.000       43.051      926.637
       0.031        0.000       43.051      926.637
       0.032        0.000       43.051      926.637
       0.033        0.000       43.176      926.637
       0.034        0.000       43.176      926.637
       0.034        0.000       43.176      926.637
       0.035        0.000       43.176      926.637
       0.036        0.000       43.301      926.637
       0.037        0.000       43.301      926.637
       0.038        0.000       43.301      926.637
       0.039     1084.900       43.551      926.809
       0.039        0.000       43.801      927.000
       0.040        0.000       43.926      927.000
       0.041        0.000       43.926      927.000
       0.042        0.000       44.051      927.000
       0.042        0.000       44.051      927.000
       0.043        0.000       44.176      927.000
       0.044        0.000       44.301      927.000
       0.045     1138.300       44.426      927.090
       0.046        0.000       44.676      927.332
       0.047        0.000       44.801      927.332
       0.048        0.000       44.926      927.605
       0.049        0.000       44.926      927.605
       0.049        0.000       45.176      927.605
       0.050        0.000       45.176      927.605
       0.051        0.000       45.176      927.605
       0.052        0.000       45.176      927.605
       0.053        0.000       45.176      927.605
       0.054        0.000       45.301      927.746
       0.055        0.000       45.551      927.953
       0.056     1053.200       45.551      927.953
       0.057        0.000       45.551      927.953
       0.057        0.000       45.551      927.953
       0.058        0.000       45.551      927.953
       0.059     1164.700       45.551      927.953
       0.060        0.000       45.551      927.953
       0.061        0.000       45.676      928.117
       0.062        0.000       45.926      928.324
       0.063        0.000       45.926      928.324
       0.064        0.000       45.926      928.324
       0.065        0.000       45.926      928.324
       0.065        0.000       45.926      928.324
       0.066        0.000       45.926      928.340
       0.067        0.000       45.926      928.340
       0.068        0.000       46.051      928.621
       0.069     1155.600       46.176      928.621
       0.070        0.000       46.301      928.699
       0.070        0.000       46.301      928.695
       0.071        0.000       46.301      928.695
       0.072     1134.100       46.301      928.695
       0.073        0.000       46.301      928.695
       0.074        0.000       46.426      928.828
       0.075        0.000       46.676      929.297
       0.076        0.000       46.676      929.039
       0.077        0.000       46.676      929.039
       0.078        0.000       46.676      929.039
       0.079        0.000       46.676      929.039
       0.080        0.000       46.801      929.359
       0.080        0.000       46.801      929.164
       0.081        0.000       47.051      929.375
       0.082        0.000       47.051      929.371
       0.083        0.000       47.051      929.371
       0.084        0.000       47.051      929.371
       0.085        0.000       47.176      929.746
       0.086        0.000       47.301      929.621
       0.087      971.400       47.426      929.695
       0.088        0.000       47.551      929.695
       0.089        0.000       47.551      929.695
       0.089        0.000       47.551      929.824
       0.090        0.000       47.676      929.832
       0.091        0.000       47.801      929.828
       0.092      835.600       47.926      929.977
       0.094        0.000       47.926      930.051
       0.095        0.000       48.051      930.156
       0.096        0.000       48.051      930.207
       0.097        0.000       48.176      930.207
       0.098        0.000       48.176      930.207
       0.100      937.900       48.176      930.207
       0.101        0.000       48.176      930.207
       0.102        0.000       48.426      930.656
       0.103        0.000       48.676      930.988
