# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       29.875      648.988
       0.001        0.000       30.000      649.117
       0.002        0.000       30.125      649.117
       0.002        0.000       30.250      649.379
       0.003        0.000       30.500      649.508
       0.004        0.000       30.625      649.766
       0.004        0.000       30.875      650.023
       0.005        0.000       31.000      650.152
       0.005        0.000       31.125      650.281
       0.006        0.000       31.250      650.410
       0.007        0.000       31.375      650.539
       0.007        0.000       31.500      650.676
       0.008        0.000       31.875      650.934
       0.009     1234.600       32.000      651.195
       0.010        0.000       32.250      651.324
       0.010        0.000       32.375      651.582
       0.011        0.000       32.500      651.715
       0.012        0.000       32.625      651.844
       0.012     1816.900       32.750      651.973
       0.013        0.000       32.875      652.102
       0.013        0.000       33.000      652.238
       0.014        0.000       33.250      652.367
       0.015        0.000       33.375      652.500
       0.015        0.000       33.625      652.758
       0.016        0.000       33.750      653.016
       0.017        0.000       33.875      653.145
       0.017        0.000       34.125      653.273
       0.018        0.000       34.125      653.406
       0.019        0.000       34.375      653.664
       0.019        0.000       34.500      653.793
       0.020        0.000       34.625      653.922
       0.021        0.000       34.750      654.051
       0.021        0.000       35.000      654.309
       0.022        0.000       35.250      654.441
       0.023        0.000       35.375      654.699
       0.023        0.000       35.625      654.961
       0.024        0.000       35.750      655.090
       0.025     1744.700       36.000      655.348
       0.026        0.000       36.125      655.477
       0.026     1184.900       36.125      655.477
       0.027        0.000       36.375      655.742
       0.028        0.000       36.500      655.871
       0.028        0.000       36.750      656.129
       0.029        0.000       36.875      656.258
       0.030        0.000       37.125      656.516
       0.031        0.000       37.250      656.777
       0.031        0.000       37.375      656.910
       0.032        0.000       37.500      657.039
       0.032        0.000       37.625      657.168
       0.033        0.000       38.125      657.684
       0.034        0.000       38.250      657.816
       0.035        0.000       38.500      657.945
       0.035        0.000       38.625      658.203
       0.036        0.000       38.875      658.332
       0.037     1380.100       39.000      658.590
       0.037        0.000       39.250      658.719
       0.038        0.000       39.500      658.980
       0.039        0.000       39.750      659.238
       0.040        0.000       39.875      659.367
