# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       32.062      414.500
       0.001        0.000       34.309      689.109
       0.002        0.000       37.652      754.215
       0.003        0.000       39.152      757.297
       0.004        0.000       39.777      758.148
       0.004        0.000       40.777      758.688
       0.005        0.000       41.402      760.289
       0.006        0.000       42.027      763.062
       0.007     1241.400       42.652      844.723
       0.008        0.000       43.277      860.816
       0.008        0.000       43.777      861.164
       0.009        0.000       44.152      862.270
       0.010     1261.200       44.152      862.270
       0.011        0.000       44.152      926.270
       0.012        0.000       44.152      926.270
       0.013        0.000       44.277      926.270
       0.014        0.000       44.277      926.270
       0.015        0.000       44.277      926.270
       0.016        0.000       44.277      926.453
       0.016        0.000       44.527      926.453
       0.017        0.000       44.652      926.453
       0.018        0.000       44.777      926.551
       0.019        0.000       45.027      926.793
       0.020        0.000       45.527      927.066
       0.021     1489.100       45.652      927.066
       0.021        0.000       45.652      927.066
       0.022        0.000       45.652      927.066
       0.023        0.000       45.652      927.066
       0.024        0.000       45.652      927.066
       0.025        0.000       45.777      927.066
       0.026        0.000       45.902      927.336
       0.027        0.000       46.027      927.340
       0.027        0.000       46.152      927.414
       0.028        0.000       46.152      927.414
       0.029        0.000       46.152      927.414
       0.030     1059.000       46.277      927.414
       0.031        0.000       46.277      927.414
       0.032        0.000       46.277      927.414
       0.033        0.000       46.527      927.711
       0.033        0.000       46.777      928.043
       0.034        0.000       46.777      927.785
       0.035        0.000       46.777      927.785
       0.036        0.000       46.777      927.801
       0.036     1080.900       46.777      927.801
       0.037        0.000       46.902      928.020
       0.038        0.000       47.027      928.086
       0.039        0.000       47.027      928.168
       0.039        0.000       47.027      928.160
       0.040        0.000       47.027      928.523
       0.041        0.000       47.027      928.523
       0.042        0.000       47.152      928.523
       0.043     1195.000       47.402      928.664
       0.043        0.000       47.527      929.125
       0.044        0.000       47.527      928.867
       0.045        0.000       47.527      928.867
       0.046        0.000       47.527      928.867
       0.047        0.000       47.527      928.867
       0.047        0.000       47.527      928.867
       0.048        0.000       47.652      929.066
       0.049        0.000       47.902      929.273
       0.050        0.000       48.027      929.203
       0.050        0.000       48.027      929.203
       0.051        0.000       48.027      929.203
       0.052        0.000       48.027      929.203
       0.053        0.000       48.152      929.340
       0.054        0.000       48.277      929.480
       0.055        0.000       48.402      929.555
       0.056     1115.400       48.402      929.555
       0.057        0.000       48.402      929.555
       0.058        0.000       48.402      929.555
       0.059        0.000       48.402      929.727
       0.060        0.000       48.652      929.727
       0.060        0.000       48.652      929.727
       0.061        0.000       48.652      929.727
       0.062        0.000       48.777      929.727
       0.063        0.000       48.902      929.855
       0.063        0.000       49.027      929.988
       0.064        0.000       49.027      929.855
       0.065      987.000       49.027      929.855
       0.066        0.000       49.027      929.855
       0.067        0.000       49.152      929.855
       0.068        0.000       49.277      930.336
       0.068        0.000       49.402      930.078
       0.069      982.900       49.402      930.117
       0.070        0.000       49.527      930.172
       0.071        0.000       49.652      930.234
       0.072        0.000       49.652      930.234
       0.073        0.000       49.652      930.234
       0.074        0.000       49.652      930.234
       0.074        0.000       49.652      930.234
       0.075        0.000       49.652      930.234
       0.076        0.000       49.652      930.234
       0.076        0.000       49.652      930.234
       0.077        0.000       49.777      930.410
       0.078        0.000       49.777      930.410
       0.079        0.000       49.777      930.410
       0.079        0.000       49.777      930.410
       0.080        0.000       49.777      930.410
       0.080        0.000       49.902      930.410
       0.081        0.000       49.902      930.410
       0.081        0.000       49.902      930.410
       0.082        0.000       49.902      930.410
       0.083        0.000       49.902      930.410
       0.083     1338.700       50.152      930.676
       0.084        0.000       50.277      930.676
       0.085        0.000       50.277      930.750
       0.086        0.000       50.277      930.750
       0.086        0.000       50.277      930.750
       0.087        0.000       50.402      930.750
       0.088        0.000       50.527      931.090
       0.089        0.000       50.777      931.156
       0.090        0.000       50.902      931.660
       0.091        0.000       50.902      931.402
       0.091     1037.600       50.902      931.402
       0.092        0.000       50.902      931.402
       0.093        0.000       51.027      931.883
       0.094        0.000       51.027      931.625
       0.095        0.000       51.027      931.625
       0.096        0.000       51.027      931.625
       0.097        0.000       51.027      931.625
       0.098        0.000       51.277      931.934
       0.098        0.000       51.527      932.070
       0.099        0.000       51.527      932.074
       0.100     1131.600       51.527      932.074
       0.100        0.000       51.527      932.074
       0.101        0.000       51.652      932.230
       0.102        0.000       51.652      932.230
       0.103        0.000       51.902      932.438
       0.104        0.000       51.902      932.438
       0.105        0.000       51.902      932.438
       0.106     1163.400       51.902      932.438
       0.107        0.000       52.152      932.664
       0.108        0.000       52.277      932.738
       0.109        0.000       52.277      932.738
       0.109     1069.000       52.277      932.738
