# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       18.875       73.371
       0.001        0.000       18.875       73.500
       0.001     1642.200       19.000       73.500
       0.002        0.000       19.000       73.500
       0.003        0.000       19.000       73.500
       0.003        0.000       19.000       73.500
       0.004        0.000       19.125       73.633
       0.004        0.000       19.125       73.633
       0.005        0.000       19.500       89.766
       0.005        0.000       22.617      105.770
       0.006        0.000       22.617      105.770
       0.006        0.000       22.617      105.770
       0.007        0.000       22.617      105.770
       0.008        0.000       22.617      105.770
       0.008        0.000       22.617      105.770
       0.009        0.000       22.617      105.770
       0.009        0.000       22.617      105.770
       0.010        0.000       22.867      105.957
       0.010        0.000       23.742      266.125
       0.011        0.000       24.617      266.652
       0.011        0.000       25.742      270.082
       0.012        0.000       26.867      270.391
       0.013        0.000       27.992      270.520
       0.013        0.000       29.117      270.520
       0.014        0.000       29.367      270.520
       0.014        0.000       29.492      270.578
       0.015        0.000       29.617      270.586
       0.015        0.000       29.742      270.586
       0.016        0.000       29.867      270.586
       0.016        0.000       29.867      270.586
       0.017        0.000       29.867      270.586
       0.017     1627.500       29.992      366.758
       0.018        0.000       34.340      607.980
       0.019     1529.800       34.840      753.352
       0.019        0.000       35.465      754.305
       0.020        0.000       36.215      754.938
       0.020        0.000       36.840      756.785
       0.021        0.000       37.590      758.238
       0.022        0.000       37.715      758.238
       0.022        0.000       37.715      758.238
       0.023        0.000       38.590      758.777
       0.023        0.000       39.090      759.035
       0.024        0.000       39.215      760.379
       0.024        0.000       39.465      760.641
       0.025        0.000       39.840      763.285
       0.025     1542.700       40.340      844.812
       0.026        0.000       40.715      844.816
       0.027        0.000       40.965      844.902
       0.027        0.000       41.340      860.906
       0.028        0.000       43.469      925.078
       0.029        0.000       43.844      926.145
       0.029        0.000       44.219      926.359
       0.030        0.000       44.219      926.359
       0.031        0.000       44.344      926.359
       0.032        0.000       44.344      926.359
       0.033        0.000       44.344      926.359
       0.034        0.000       44.469      926.359
       0.034        0.000       44.594      926.543
       0.035        0.000       44.969      926.734
       0.036        0.000       44.969      926.734
       0.037        0.000       45.094      926.734
       0.038        0.000       45.094      926.734
       0.039        0.000       45.094      926.734
       0.039        0.000       45.219      926.734
       0.040        0.000       45.219      926.734
       0.041      896.800       45.344      926.734
       0.042        0.000       45.344      926.734
       0.043        0.000       45.344      926.734
       0.044        0.000       45.469      926.734
       0.045        0.000       45.469      926.734
       0.046        0.000       45.469      926.734
       0.046        0.000       45.594      926.734
       0.047        0.000       45.594      926.734
       0.048        0.000       45.719      926.906
